Regulator	Target
ENSG00000150867	ENSG00000138443
ENSG00000171608	ENSG00000138443
ENSG00000142627	ENSG00000138443
ENSG00000011405	ENSG00000138443
ENSG00000136238	ENSG00000138443
ENSG00000097007	ENSG00000138443
ENSG00000051382	ENSG00000138443
ENSG00000211675	ENSG00000138443
ENSG00000141456	ENSG00000138443
ENSG00000143398	ENSG00000138443
ENSG00000197122	ENSG00000138443
ENSG00000168243	ENSG00000138443
ENSG00000196468	ENSG00000138443
ENSG00000145675	ENSG00000138443
ENSG00000167601	ENSG00000138443
ENSG00000166710	ENSG00000138443
ENSG00000141736	ENSG00000138443
ENSG00000091831	ENSG00000138443
ENSG00000122779	ENSG00000138443
ENSG00000107831	ENSG00000138443
ENSG00000242616	ENSG00000138443
ENSG00000140285	ENSG00000138443
ENSG00000186895	ENSG00000138443
ENSG00000162344	ENSG00000138443
ENSG00000124181	ENSG00000097007
ENSG00000010810	ENSG00000097007
ENSG00000000938	ENSG00000097007
ENSG00000189056	ENSG00000097007
ENSG00000145386	ENSG00000097007
ENSG00000108984	ENSG00000097007
ENSG00000182866	ENSG00000097007
ENSG00000197122	ENSG00000097007
ENSG00000101336	ENSG00000097007
ENSG00000176105	ENSG00000097007
ENSG00000254087	ENSG00000097007
ENSG00000123374	ENSG00000097007
ENSG00000157193	ENSG00000097007
ENSG00000149311	ENSG00000097007
ENSG00000136573	ENSG00000097007
ENSG00000183778	ENSG00000175164
ENSG00000172318	ENSG00000175164
ENSG00000158850	ENSG00000175164
ENSG00000086062	ENSG00000175164
ENSG00000121578	ENSG00000175164
ENSG00000162630	ENSG00000175164
ENSG00000174951	ENSG00000175164
ENSG00000176920	ENSG00000175164
ENSG00000117411	ENSG00000175164
ENSG00000167531	ENSG00000175164
ENSG00000176597	ENSG00000175164
ENSG00000116353	ENSG00000060971
ENSG00000183549	ENSG00000060971
ENSG00000138796	ENSG00000060971
ENSG00000133835	ENSG00000060971
ENSG00000122971	ENSG00000060971
ENSG00000113790	ENSG00000060971
ENSG00000066813	ENSG00000060971
ENSG00000215009	ENSG00000060971
ENSG00000127884	ENSG00000060971
ENSG00000084754	ENSG00000060971
ENSG00000166743	ENSG00000060971
ENSG00000005187	ENSG00000060971
ENSG00000072506	ENSG00000060971
ENSG00000183747	ENSG00000060971
ENSG00000005187	ENSG00000167315
ENSG00000066813	ENSG00000167315
ENSG00000215009	ENSG00000167315
ENSG00000183549	ENSG00000167315
ENSG00000183747	ENSG00000167315
ENSG00000166743	ENSG00000167315
ENSG00000072506	ENSG00000167315
ENSG00000113790	ENSG00000167315
ENSG00000138796	ENSG00000167315
ENSG00000084754	ENSG00000167315
ENSG00000122971	ENSG00000167315
ENSG00000116353	ENSG00000167315
ENSG00000127884	ENSG00000167315
ENSG00000144290	ENSG00000278540
ENSG00000159267	ENSG00000278540
ENSG00000100294	ENSG00000278540
ENSG00000170522	ENSG00000278540
ENSG00000050438	ENSG00000278540
ENSG00000169710	ENSG00000278540
ENSG00000108788	ENSG00000278540
ENSG00000009950	ENSG00000278540
ENSG00000159267	ENSG00000076555
ENSG00000108788	ENSG00000076555
ENSG00000106617	ENSG00000076555
ENSG00000100294	ENSG00000076555
ENSG00000050438	ENSG00000076555
ENSG00000170522	ENSG00000076555
ENSG00000131791	ENSG00000076555
ENSG00000009950	ENSG00000076555
ENSG00000169710	ENSG00000076555
ENSG00000144290	ENSG00000076555
ENSG00000162409	ENSG00000076555
ENSG00000138029	ENSG00000151498
ENSG00000137992	ENSG00000151498
ENSG00000060971	ENSG00000151498
ENSG00000075239	ENSG00000151498
ENSG00000066813	ENSG00000151498
ENSG00000120437	ENSG00000151498
ENSG00000166743	ENSG00000151498
ENSG00000005187	ENSG00000151498
ENSG00000167315	ENSG00000151498
ENSG00000215009	ENSG00000151498
ENSG00000183549	ENSG00000151498
ENSG00000183747	ENSG00000151498
ENSG00000123983	ENSG00000115361
ENSG00000185000	ENSG00000115361
ENSG00000100219	ENSG00000115361
ENSG00000060971	ENSG00000115361
ENSG00000068366	ENSG00000115361
ENSG00000103740	ENSG00000115361
ENSG00000221988	ENSG00000115361
ENSG00000147160	ENSG00000115361
ENSG00000169169	ENSG00000115361
ENSG00000164398	ENSG00000115361
ENSG00000110090	ENSG00000115361
ENSG00000131238	ENSG00000115361
ENSG00000151726	ENSG00000115361
ENSG00000157184	ENSG00000115361
ENSG00000197142	ENSG00000115361
ENSG00000130377	ENSG00000115361
ENSG00000084754	ENSG00000115361
ENSG00000167315	ENSG00000115361
ENSG00000167969	ENSG00000115361
ENSG00000138029	ENSG00000115361
ENSG00000125798	ENSG00000115361
ENSG00000205560	ENSG00000115361
ENSG00000147160	ENSG00000117054
ENSG00000060971	ENSG00000117054
ENSG00000130589	ENSG00000117054
ENSG00000185000	ENSG00000117054
ENSG00000167315	ENSG00000117054
ENSG00000131238	ENSG00000117054
ENSG00000138029	ENSG00000117054
ENSG00000113790	ENSG00000117054
ENSG00000075239	ENSG00000117054
ENSG00000131069	ENSG00000117054
ENSG00000177565	ENSG00000117054
ENSG00000166743	ENSG00000117054
ENSG00000137574	ENSG00000117054
ENSG00000186951	ENSG00000117054
ENSG00000164398	ENSG00000117054
ENSG00000110090	ENSG00000117054
ENSG00000205560	ENSG00000117054
ENSG00000154930	ENSG00000117054
ENSG00000198646	ENSG00000117054
ENSG00000101849	ENSG00000117054
ENSG00000123983	ENSG00000117054
ENSG00000115361	ENSG00000117054
ENSG00000119711	ENSG00000117054
ENSG00000103740	ENSG00000117054
ENSG00000125686	ENSG00000117054
ENSG00000130377	ENSG00000117054
ENSG00000127884	ENSG00000117054
ENSG00000221988	ENSG00000117054
ENSG00000082014	ENSG00000117054
ENSG00000183747	ENSG00000117054
ENSG00000005187	ENSG00000117054
ENSG00000140396	ENSG00000117054
ENSG00000084676	ENSG00000117054
ENSG00000183549	ENSG00000117054
ENSG00000142453	ENSG00000117054
ENSG00000197142	ENSG00000117054
ENSG00000215009	ENSG00000117054
ENSG00000068366	ENSG00000117054
ENSG00000111058	ENSG00000117054
ENSG00000137992	ENSG00000117054
ENSG00000125798	ENSG00000117054
ENSG00000169169	ENSG00000117054
ENSG00000084754	ENSG00000117054
ENSG00000177200	ENSG00000117054
ENSG00000100219	ENSG00000117054
ENSG00000186350	ENSG00000117054
ENSG00000120437	ENSG00000117054
ENSG00000151726	ENSG00000117054
ENSG00000157184	ENSG00000117054
ENSG00000005339	ENSG00000117054
ENSG00000066813	ENSG00000117054
ENSG00000075239	ENSG00000122971
ENSG00000005187	ENSG00000122971
ENSG00000215009	ENSG00000122971
ENSG00000120437	ENSG00000122971
ENSG00000060971	ENSG00000122971
ENSG00000127884	ENSG00000122971
ENSG00000167315	ENSG00000122971
ENSG00000066813	ENSG00000122971
ENSG00000138029	ENSG00000122971
ENSG00000183549	ENSG00000122971
ENSG00000183747	ENSG00000122971
ENSG00000137992	ENSG00000122971
ENSG00000113790	ENSG00000122971
ENSG00000166743	ENSG00000122971
ENSG00000105607	ENSG00000122971
ENSG00000084754	ENSG00000122971
ENSG00000075239	ENSG00000196177
ENSG00000120437	ENSG00000196177
ENSG00000183747	ENSG00000196177
ENSG00000215009	ENSG00000196177
ENSG00000167315	ENSG00000196177
ENSG00000137992	ENSG00000196177
ENSG00000060971	ENSG00000196177
ENSG00000138029	ENSG00000196177
ENSG00000066813	ENSG00000196177
ENSG00000166743	ENSG00000196177
ENSG00000005187	ENSG00000196177
ENSG00000183549	ENSG00000196177
ENSG00000167315	ENSG00000072778
ENSG00000164398	ENSG00000072778
ENSG00000151726	ENSG00000072778
ENSG00000147160	ENSG00000072778
ENSG00000123983	ENSG00000072778
ENSG00000125798	ENSG00000072778
ENSG00000169169	ENSG00000072778
