TCGA.D7.6520	TCGA.HU.A4GX	TCGA.BR.8371	TCGA.D7.A747	TCGA.CG.5732	TCGA.CG.5724	TCGA.CD.8524	TCGA.CG.4477	TCGA.VQ.A91V	TCGA.CD.8527	TCGA.CG.5717
ENSG00000011021	1090	1091	2620	630	818	573	1672	1171	2058	676	719
ENSG00000011028	9474	2029	3455	1547	2249	5938	10561	2343	2863	2612	6681
ENSG00000011052	18	95	21	6	9	23	26	21	65	85	22
ENSG00000011083	2	9	6	153	22	33	10	5	74	1	0
ENSG00000011105	4606	1829	2989	817	1419	1361	3161	973	763	1293	2202
ENSG00000011114	1823	3280	2612	1507	2511	1746	3063	2606	5017	1202	2486
ENSG00000011132	1463	1735	1301	606	758	1630	2430	922	1109	854	1135
ENSG00000011143	679	1182	603	226	589	910	865	882	835	610	549
ENSG00000011198	1282	968	557	306	729	763	903	1566	1184	496	2357
ENSG00000011201	296	500	258	293	98	204	975	955	53	421	508
ENSG00000011243	1456	1790	2393	555	1601	1762	3085	1541	1552	1127	1690
ENSG00000011258	793	2580	1429	663	1156	879	1858	1626	2504	1553	1050
ENSG00000011260	2406	2338	959	355	1394	2331	1757	2419	2542	1245	1477
ENSG00000011275	4656	4603	4919	2503	1813	2136	7537	2809	2237	1904	2215
ENSG00000011295	1651	4574	2378	1105	1145	2007	2651	1929	1646	1628	1626
ENSG00000011304	19967	34167	13104	5541	16681	26095	36272	17814	26086	20987	21775
ENSG00000011332	18	98	34	30	53	51	58	64	30	92	14
ENSG00000011347	6467	114	211	132	335	1145	87	469	689	712	815
ENSG00000011376	1997	928	824	419	1478	1189	1295	1289	1843	254	1578
ENSG00000011405	5755	8347	6641	2755	3160	1881	7335	5585	8752	4183	6054
ENSG00000011422	1923	4516	832	397	3867	8673	7683	3612	7945	6061	3436
ENSG00000011426	1790	4848	530	1046	1038	9376	3998	5395	8404	2110	1415
ENSG00000011451	5358	6545	8327	2642	5521	4402	6552	3032	4591	4331	5323
ENSG00000011454	2506	4583	7999	3173	2251	2238	4335	3815	5305	1800	3742
ENSG00000011465	34252	6931	40906	26355	9477	13004	31603	20834	5932	6374	15099
ENSG00000011478	326	876	583	123	650	456	1004	291	724	723	393
ENSG00000011485	6904	3886	3165	1174	2474	3834	6517	2256	6306	2649	3046
ENSG00000011523	1273	1443	3989	1724	1198	919	2070	1829	1262	772	1745
ENSG00000011566	1847	3016	3264	1439	1360	1428	3413	3386	3996	2067	1920
ENSG00000011590	18	68	64	26	71	28	62	72	14	29	118
ENSG00000011600	5804	6964	2260	2101	2536	5147	6311	7235	652	4887	2359
ENSG00000011638	5308	2413	4145	738	917	906	1367	769	1965	1184	2132
ENSG00000011677	591	1	1	10	194	4	2240	29	2	651	133
ENSG00000012048	638	2638	737	354	413	2014	951	2981	2451	1716	705
ENSG00000012061	3756	3059	2863	1143	1309	4084	5162	1415	3263	2801	2156
ENSG00000012124	106	184	2630	1027	970	41	1302	329	145	103	891
ENSG00000012171	604	2603	4967	493	3892	1494	1308	1453	15595	2493	1237
ENSG00000012174	2430	1813	1269	676	1020	1164	1059	2170	2999	1515	1179
ENSG00000012211	2756	1803	817	449	861	1636	1302	904	2505	3667	2194
ENSG00000012223	50	3194	4854	1054	1419	53	575	3624	149	22	731
ENSG00000012232	4835	1672	6561	2454	1664	2977	4004	2044	2888	1929	2632
ENSG00000012504	1450	472	7	32	363	6	11	46	5	0	18
ENSG00000012660	3749	5330	4530	1699	1388	636	4726	7175	489	2116	2528
