TCGA.50.5066	TCGA.55.6712	TCGA.50.5068	TCGA.55.6979	TCGA.50.5072	TCGA.50.5055	TCGA.55.8615	TCGA.73.A9RS	TCGA.50.5936	TCGA.53.7813	TCGA.95.A4VP
ENSG00000012963	5012	825	835	698	1645	1153	886	641	1117	1059	1084
ENSG00000012983	5764	3365	540	1048	2043	721	1698	1569	1770	1490	1236
ENSG00000013016	3190	361	134	214	583	721	1092	179	837	219	743
ENSG00000013275	7702	2702	2579	1099	6658	3028	4630	2849	1721	2790	4737
ENSG00000013288	6121	3842	795	2329	5026	2366	2293	2818	4177	1356	2639
ENSG00000013293	147	0	1	0	5	1	3	0	2	0	0
ENSG00000013297	1171	147	236	92	113	147	256	19	460	81	116
ENSG00000013306	11043	5797	6261	1786	7021	4498	8946	3770	2257	2558	10393
ENSG00000013364	24686	21720	4719	9118	13925	7979	10130	9000	12517	2586	15531
ENSG00000013374	9895	4454	2456	2330	3366	2448	2205	1798	2929	1399	2630
ENSG00000013375	4921	1134	1292	687	3613	1050	1959	2477	1283	1085	2306
ENSG00000013392	751	225	810	168	359	314	335	325	272	256	398
ENSG00000013441	9086	1086	3738	2818	2394	1453	2669	2614	1662	2658	5273
ENSG00000013503	1657	375	179	229	977	211	447	367	504	152	413
ENSG00000013523	3580	1888	447	895	1531	500	920	629	1087	979	1493
ENSG00000013561	4051	1364	2333	1085	2775	1955	1694	1049	1709	1257	1426
ENSG00000013563	2200	1359	664	511	1222	549	660	537	809	267	767
ENSG00000013573	2585	731	173	231	2319	191	1843	727	73	718	1994
ENSG00000013583	3297	1914	1350	1222	2731	1556	1187	478	1854	727	1588
ENSG00000013588	29056	102571	8710	54492	49187	8207	13152	12817	70582	7667	28313
ENSG00000013619	383	99	17	126	328	131	1062	23	315	21	302
ENSG00000013725	1019	795	394	787	325	1279	139	252	525	228	1005
ENSG00000013810	7897	3170	612	425	5984	1454	1416	3568	496	1103	3530
ENSG00000014123	4833	1461	1380	863	3404	1336	1314	1174	1577	886	924
ENSG00000014138	1769	852	619	298	1481	650	565	1146	371	399	991
ENSG00000014164	5794	1001	313	533	1866	623	1889	1066	863	492	2448
ENSG00000014216	26258	17121	4150	4561	9533	7173	10490	8717	7154	2326	11665
ENSG00000014257	633	40	105	146	848	70	272	759	330	99	201
ENSG00000014641	16979	2347	5837	2301	6825	3619	3791	3723	2944	2536	3558
ENSG00000014824	7229	2098	2649	1572	2760	1676	2676	1660	2554	1982	2375
