TCGA.NH.A50U	TCGA.A6.A565	TCGA.AA.A02K	TCGA.AZ.6606	TCGA.NH.A8F8	TCGA.AZ.4682	TCGA.AA.3973	TCGA.AZ.6600	TCGA.NH.A6GB	TCGA.AA.3844	TCGA.AA.3972	TCGA.AA.3692
ENSG00000010438	6484	6191	5398	5498	5887	5114	2328	4556	4892	3876	2802	2155
ENSG00000010539	1051	641	991	610	554	745	399	234	389	286	332	450
ENSG00000010610	1151	4073	445	563	730	668	399	1634	730	483	306	1626
ENSG00000010626	195	466	345	379	370	305	298	131	233	93	83	240
ENSG00000010671	167	899	62	51	125	50	36	271	80	32	50	165
ENSG00000010704	703	762	701	913	348	674	389	357	393	289	355	466
ENSG00000010803	3753	2083	2530	1844	748	3349	797	1607	730	870	887	1234
ENSG00000010810	627	3115	446	1346	684	379	552	1179	685	216	179	591
ENSG00000010818	1378	2797	294	1440	1501	1012	395	1766	1132	435	405	350
ENSG00000010932	10	45	5	7	10	24	11	16	34	11	13	16
ENSG00000011007	3957	3434	2848	2416	1421	1719	504	2593	2033	724	859	774
ENSG00000011009	7175	5103	9107	6705	3026	2868	704	3875	4279	1357	1896	1489
ENSG00000011021	1176	1493	1094	608	472	224	196	526	728	229	317	197
ENSG00000011028	3661	4635	813	807	2786	1190	579	4204	1311	401	622	822
ENSG00000011052	100	35	103	49	33	64	8	28	51	13	5	25
ENSG00000011083	298	854	128	547	38	94	70	163	133	118	28	39
ENSG00000011105	2345	2036	1118	11815	1324	1274	492	1139	1005	442	428	741
ENSG00000011114	2832	2538	1090	2449	887	1332	803	1907	765	640	482	842
ENSG00000011132	1028	838	1236	643	868	948	414	471	382	311	473	690
ENSG00000011143	1020	733	1040	375	607	701	451	339	679	339	328	745
ENSG00000011198	641	1231	464	589	411	969	209	1083	291	332	284	395
ENSG00000011201	477	835	156	31	332	148	101	66	34	71	117	129
ENSG00000011243	3269	2519	2082	1886	2041	1797	624	1045	1106	551	574	704
ENSG00000011258	1390	1387	1084	1032	1197	951	690	799	1144	323	439	904
ENSG00000011260	2722	1969	2068	2197	1749	3103	943	1138	2414	1281	1237	2172
ENSG00000011275	3017	3878	2715	1368	2483	2542	1110	1588	2152	938	721	1375
ENSG00000011295	4015	4132	1903	3969	1850	2358	1717	3084	1098	1928	1191	1444
ENSG00000011304	30819	16709	22472	23871	14714	21987	7157	15860	14978	8446	7856	10259
ENSG00000011332	48	14	151	29	12	15	3	9	14	0	6	10
ENSG00000011347	10009	2773	8517	3923	2516	5517	2109	456	2877	1004	1461	1455
ENSG00000011376	3757	2141	1774	2001	948	2272	688	1917	1741	851	854	1023
ENSG00000011405	3542	3528	2276	2416	1967	2406	950	1878	2023	982	799	1008
ENSG00000011422	3733	8558	1032	3468	3372	5589	757	3043	3764	763	873	1301
ENSG00000011426	5394	3205	4208	4297	893	2700	417	461	1845	1781	867	1080
ENSG00000011451	3828	3014	3411	3510	2600	2219	1220	2281	2032	885	1143	1246
ENSG00000011454	7149	3622	4117	2930	1611	1671	1540	2025	1313	1116	782	1428
ENSG00000011465	3291	9818	1915	1704	4178	5169	3199	36270	5644	2325	3978	5141
ENSG00000011478	1246	723	946	573	715	1404	370	467	727	261	432	635
ENSG00000011485	4320	3589	3394	3983	2654	3527	1406	2394	2494	1936	1439	1851
ENSG00000011523	2029	1118	1180	903	1399	1206	936	687	535	369	498	1324
ENSG00000011566	2479	2008	1459	2024	1014	1704	1205	944	1375	841	948	1170
ENSG00000011590	23	142	22	22	30	13	3	19	51	7	4	7
ENSG00000011600	1679	1537	686	233	815	636	293	766	456	335	324	2330
ENSG00000011638	2263	2231	2460	1261	1102	2161	639	1021	706	838	727	1942
ENSG00000011677	4	3	389	8	2	1	4	19	1	1	0	158
ENSG00000012048	2289	1509	3374	1897	919	1145	292	535	2851	688	564	697
ENSG00000012061	1673	1751	1597	2353	1554	2801	938	1436	1068	946	991	1638
ENSG00000012124	75	3107	70	73	80	7	21	472	47	9	19	41
ENSG00000012171	7498	5940	2031	4800	674	872	1072	2811	9196	425	1062	385
ENSG00000012174	2144	1107	1785	775	774	1929	1343	644	613	870	516	592
ENSG00000012211	1975	599	915	821	586	1052	538	350	371	397	336	399
ENSG00000012223	12	970	13	80	153	82	138	139	74	15	14	52
ENSG00000012232	1695	3642	565	1326	1851	1232	832	1458	1161	838	1071	701
ENSG00000012504	9	968	8	28	7	12	1	910	9	5	0	31
ENSG00000012660	559	3590	182	1426	2037	2513	1415	1150	3878	1558	251	1572
ENSG00000012779	2848	2446	279	4841	412	655	184	916	573	214	134	439
ENSG00000012817	3910	6	3425	1868	471	1247	859	1500	2	0	585	5
ENSG00000012822	10120	3948	4209	3621	3048	3160	2104	2229	2883	1036	779	1763
ENSG00000012963	2697	2274	1328	1603	846	2172	792	1823	883	1112	648	1217
ENSG00000012983	2717	2827	684	1919	1214	1186	612	1479	932	781	434	835
ENSG00000013016	324	882	82	145	200	183	128	258	137	71	77	198
ENSG00000013275	5442	4789	4901	6152	4660	4935	1334	3561	3312	2006	2380	2560
ENSG00000013288	3261	4646	1057	4661	1630	2676	1323	3848	1637	962	1140	788
ENSG00000013293	1	14	0	2	4	0	3	82	0	0	0	2
ENSG00000013297	25	95	34	16	62	24	54	395	9	20	20	20
ENSG00000013306	17323	9330	16995	10281	10753	20352	3687	6580	12429	4558	5784	7230
ENSG00000013364	29971	34352	33843	29649	17099	16727	6657	34589	19085	10360	8362	6869
ENSG00000013374	4630	4847	6614	4365	3143	4852	1534	2630	2675	2266	1377	1919
ENSG00000013375	4569	3120	2201	2091	1900	2750	993	1271	1690	742	845	974
ENSG00000013392	553	439	201	281	486	531	233	122	302	134	260	423
ENSG00000013441	5801	6685	2903	2086	2517	1903	1023	1144	1834	1283	1350	2222
ENSG00000013503	1593	717	932	742	681	616	241	594	536	404	220	465
ENSG00000013523	2801	1818	910	1315	1327	2158	1307	961	710	1138	651	1912
ENSG00000013561	1853	2535	3474	2713	1679	2949	837	2272	1367	1607	1312	1620
ENSG00000013563	2177	1546	1146	1349	1049	1255	886	875	779	460	387	465
ENSG00000013573	4206	2424	3360	1625	2645	1482	420	592	2204	687	546	643
ENSG00000013583	2742	1738	1117	1041	1622	1257	768	1397	862	521	422	1353
ENSG00000013588	25808	31803	9229	26951	25145	23979	17977	18896	17197	8232	7550	7751
