TCGA.FS.A1ZE	TCGA.W3.AA1O	TCGA.EE.A185	TCGA.GN.A8LK	TCGA.EE.A2MD	TCGA.EE.A2MQ	TCGA.HR.A2OH	TCGA.EB.A5FP	TCGA.EE.A3JI	TCGA.FS.A4F0	TCGA.EE.A29Q	TCGA.EE.A29V	TCGA.EE.A2ML	TCGA.ER.A19H
ENSG00000008083	12690	2633	5612	4362	15828	6257	3894	7476	7691	4580	3033	9243	4619	7386
ENSG00000008086	1183	442	558	279	1057	726	406	322	1712	1360	1546	306	1066	1288
ENSG00000008118	10	49	25	3987	678	3216	62	53	7	52	58	78	208	24
ENSG00000008128	390	371	161	823	202	363	469	437	160	645	579	354	165	580
ENSG00000008130	3139	5212	4044	4153	3006	5928	7919	5053	5738	5153	7986	6234	3411	8389
ENSG00000008196	31	0	0	0	0	0	0	13	2	1209	3	2	1	10
ENSG00000008197	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000008226	8	16	5	5	14	7	35	43	26	45	52	21	7	30
ENSG00000008256	86758	25041	19364	8260	12910	25476	15031	44351	9395	39974	25076	17911	31675	12376
ENSG00000008277	317	1191	175	61	566	35	74	51	1843	729	1494	11	364	420
ENSG00000008282	6409	10336	1825	2566	5263	9104	5666	7203	9685	9409	13637	5752	4399	11545
ENSG00000008283	2221	2229	1474	883	879	258	1979	2610	1678	87	5988	5939	3320	2011
ENSG00000008294	22500	8776	8658	4869	23400	6915	9542	13622	23341	15305	14139	11736	12020	17348
ENSG00000008300	521	596	357	148	74	267	325	679	2473	1233	918	224	275	316
ENSG00000008311	1074	2101	582	181	1065	626	833	585	1156	2524	2280	417	815	2324
ENSG00000008323	14	3	19	5	52	10	6	27	4	8	42	48	3	37
ENSG00000008324	643	740	454	681	491	634	829	932	1468	1310	1671	1190	836	507
ENSG00000008382	767	655	757	1803	759	635	1397	598	1608	912	2379	1683	1114	1590
ENSG00000008394	141	1616	1492	252	126	270	120	1756	13	785	128	10901	8	305
ENSG00000008405	1912	1395	1032	652	1413	1371	776	1569	1268	978	1308	1648	1107	1866
ENSG00000008438	2	6	1	3	2	2	3	1	7	21	2	13	0	2
ENSG00000008441	6301	1776	1544	2345	547	6488	2502	1498	7605	7075	9539	7052	5593	6351
ENSG00000008513	6150	4238	3466	1672	5413	2614	6637	8435	6169	2002	20007	9632	10391	20177
ENSG00000008516	18	45	36	56	90	53	616	12	31	80	38	122	92	130
ENSG00000008517	258	445	45	132	1099	616	8767	170	520	83	472	489	1260	1455
ENSG00000008710	6366	1998	2283	2625	5211	8599	3210	4118	5980	9542	8542	6393	12465	11048
ENSG00000008735	344	110	508	5923	1289	504	221	306	163	124	1810	9185	14	36
ENSG00000008838	6444	6767	4919	6760	16898	2503	6599	4557	9023	10758	10716	18235	3725	7494
ENSG00000008853	3984	3511	2576	4128	6733	3578	5218	2793	3331	3140	5255	6755	4265	6832
ENSG00000008869	2767	3899	1798	1375	4447	2666	1628	2940	6502	4247	6046	2343	3499	5063
ENSG00000008952	8340	8071	2812	1854	9504	6716	7642	5472	12682	7990	16356	3413	14867	4965
ENSG00000008988	34859	30165	18519	35127	34228	44169	38084	20995	40713	38835	143954	80183	25230	44857
ENSG00000009307	40191	32875	20483	8768	76252	64035	35139	29126	69908	35304	73421	94905	49152	52349
ENSG00000009335	6317	12052	5567	4775	11714	15224	7563	16156	8419	9179	13845	7403	9526	12590
ENSG00000009413	6983	2185	773	1201	9212	3288	2335	2608	13877	9837	5411	1185	7738	7041
ENSG00000009694	22	19	1	1	59	14	22	2	2	749	13	0	42	47
ENSG00000009709	0	0	0	1	17	0	26	0	1	0	0	1	0	0
ENSG00000009724	188	85	13	7	22	117	38	49	177	249	75	11	27	83
ENSG00000009765	0	1	0	2	1	0	18	0	0	1	1	1	0	0
ENSG00000009780	1041	771	249	425	1380	1148	812	828	1354	1003	1377	501	991	383
ENSG00000009790	83	80	9	14	384	1063	2268	23	237	48	157	35	537	605
ENSG00000009830	2589	3881	2906	1790	3403	2153	1781	2432	2823	2911	4731	1732	2324	3007
ENSG00000009844	3970	1592	902	2242	5325	3508	2560	2220	4228	5105	4438	1754	3824	2978
ENSG00000009950	16	81	1	7	11	2	62	3	210	4	55	1	62	31
ENSG00000009954	7296	18732	5276	6941	11826	15823	10682	18003	11735	7876	13378	3803	5052	21044
ENSG00000010017	5935	3187	2053	2897	6025	8395	3160	7328	29983	4440	2981	4249	4706	4034
ENSG00000010030	16	19	4	36	110	71	3375	20	97	17	152	36	94	651
ENSG00000010072	927	1406	630	515	996	1083	720	1113	1120	1013	1886	553	1141	940
ENSG00000010165	3293	4874	3210	2294	5127	5103	3762	4372	4699	5366	10125	10216	4622	6757
ENSG00000010219	843	831	641	990	1184	355	739	485	1300	1597	1365	751	939	785
ENSG00000010244	9967	8459	5748	6194	20447	6786	7763	12721	14316	13477	11700	7448	6462	13017
ENSG00000010256	13910	17423	10733	35208	8348	11941	13373	12231	15032	14628	22321	38470	10202	9913
ENSG00000010270	1423	4923	1398	1587	4010	4578	3206	4164	2696	3156	6691	2689	2569	4079
ENSG00000010278	13001	29669	8830	12673	12322	17632	9483	25284	5464	6270	7797	3446	1924	785
ENSG00000010282	19	9	0	1	22	19	31	3	70	28	1306	0	34540	353
ENSG00000010292	6524	7253	4984	7751	12043	10195	8509	8155	13379	6346	5332	7443	4440	21368
ENSG00000010295	2796	1640	1129	2501	1518	2637	2192	2790	4530	5714	1954	112	2106	3719
ENSG00000010310	26	75	72	32	158	7	80	36	16	53	50	78	35	28
ENSG00000010318	439	328	102	304	217	119	407	646	271	419	1073	880	235	271
ENSG00000010319	454	365	107	161	238	606	95	121	135	728	434	674	298	404
ENSG00000010322	6074	3041	3251	3549	2049	5701	4358	3372	12571	9036	9781	5773	6212	6201
ENSG00000010327	1067	2289	397	453	3311	1938	1471	438	4526	446	1590	1339	3823	5672
ENSG00000010361	1641	865	1102	1340	806	356	1039	1750	2830	1845	5309	2384	1602	910
ENSG00000010379	4	8	2	2	27	2	3	3	5	0	24	0	4	1
ENSG00000010404	8751	7521	3091	3600	5513	11999	8064	3882	8995	13806	16904	3061	11795	1574
ENSG00000010438	3	1	10	0	2	0	0	120	0	1	8	92	0	0
ENSG00000010539	391	520	404	446	1008	599	614	783	1039	1166	917	591	691	885
ENSG00000010610	850	1000	189	189	3531	2279	18670	281	8052	653	1643	552	5749	7404
ENSG00000010626	898	717	316	1463	568	264	860	690	534	886	1336	470	629	312
ENSG00000010671	105	170	62	112	2004	302	1564	61	390	612	247	150	455	555
ENSG00000010704	65	2407	1160	295	904	687	1065	1942	120	28	1798	538	130	956
ENSG00000010803	3850	2472	1488	2799	3480	3384	1739	2775	7120	5710	3949	4296	2997	4642
ENSG00000010810	6985	3032	4433	7132	11481	11803	11679	7163	8747	12099	8489	7123	8009	8184
ENSG00000010818	4563	1496	925	850	3652	6222	2760	1710	1755	3418	4517	1219	4887	4303
ENSG00000010932	195	188	7	5	104	912	26	75	47	119	155	80	18	140
ENSG00000011007	4095	6413	4795	4934	4155	10866	6110	5912	11464	6567	8595	8110	4562	9284
ENSG00000011009	4897	5898	4267	7185	3646	11415	6963	4853	5710	6302	10194	15357	6339	9094
ENSG00000011021	4253	1934	1171	1248	1133	2503	1856	2934	3919	5169	2780	2279	3782	3734
ENSG00000011028	2576	1775	230	222	1260	2346	2477	778	362	252	3316	3465	1399	8304
ENSG00000011052	87	84	80	117	218	94	81	53	116	26	95	218	54	132
ENSG00000011083	3	1	0	0	4	2	1	1	3	1	1	4	1	5
ENSG00000011105	3649	3135	3389	3451	9193	2576	1184	5538	4763	6984	2729	4980	2491	7810
ENSG00000011114	1846	2333	1486	686	1766	2830	1660	2664	2322	3113	4543	1130	2898	2219
ENSG00000011132	874	830	1002	1101	1087	969	1266	549	1807	1410	2816	617	1128	899
ENSG00000011143	847	1654	962	1215	2310	255	839	1372	1240	2027	2690	2298	726	1136
ENSG00000011198	639	983	590	839	737	1040	629	1121	1950	865	1641	1081	820	824
ENSG00000011201	242	29	551	49	135	131	394	37	24	661	63	18	222	126
ENSG00000011243	1943	1701	1913	4309	3884	3551	2941	1146	3177	4818	3962	5396	2166	2841
ENSG00000011258	2419	622	595	264	2612	506	875	1030	3310	3360	2649	572	1117	2083
ENSG00000011260	3800	4695	2873	2265	9145	2208	3217	5049	5750	3434	5895	5569	3458	4659
ENSG00000011275	10582	7874	3477	4342	5102	6632	6317	6483	6565	6974	11682	7481	4561	8906
