TCGA.G2.A2EK	TCGA.BT.A20N	TCGA.FD.A3SJ	TCGA.G2.AA3C	TCGA.DK.A1A7	TCGA.UY.A78L	TCGA.FD.A3SO	TCGA.XF.A9SV	TCGA.DK.A3WX	TCGA.G2.A3IE	TCGA.GV.A40E	TCGA.G2.A2EJ	TCGA.DK.AA6S	TCGA.DK.A3IV	TCGA.FD.A3SQ	TCGA.ZF.AA5H	TCGA.G2.A3IB	TCGA.DK.AA6P	TCGA.XF.A9SU	TCGA.FJ.A871
ENSG00000006788	3	9	7	143	2	15	14	1	14	0	2	1	15	0	37	12	5	0	10	351
ENSG00000006831	3839	7756	5385	3386	2718	3938	9216	2299	6599	2915	6468	6821	3421	5607	3327	6552	9182	2572	1912	3339
ENSG00000006837	35	8	48	22	45	18	12	15	21	36	58	24	25	70	47	41	11	18	26	60
ENSG00000007001	29	0	0	0	2	5	0	0	0	1	3	1	6	1	5	4	2	3	0	0
ENSG00000007038	41	6	195	1248	399	1	5	1	36	6	3888	4	39	3	8	7	0	447	182	2196
ENSG00000007047	1640	1935	9182	846	2419	2471	1487	896	2689	2524	1676	2956	1563	2317	2190	1997	5295	2525	1625	2718
ENSG00000007062	3922	1	155	1	33	8	3	4	11	2224	5	13	22	5640	1869	8	1	151	129	29
ENSG00000007080	2303	2542	5141	3687	2873	6327	2805	1410	3107	3585	4324	3759	2515	4274	3813	4289	4714	1438	4715	8858
ENSG00000007129	14	9	47	148	27	20	27	13	112	9	17	6	33	83	24	87	13	14	26	13
ENSG00000007168	4049	3445	5994	4320	2997	6487	4908	2033	6944	3395	6170	6642	3593	5115	4764	11074	10809	4484	2982	7924
ENSG00000007171	169	3	62	25	5	30	110	6	29	4	38	8	8	1182	37	13	2	24	22	328
ENSG00000007174	10	1	6	1	2	3	3	2	3	1	2	4	4	10	5	5	7	20	0	159
ENSG00000007202	15774	5925	10623	5310	4862	7275	12595	1502	16815	9338	6817	8143	5839	14858	6501	8573	9191	11604	2724	8294
ENSG00000007216	65	0	1	0	2	1	1	1	1	1	6	9	8	33	16	0	1	15	1	2
ENSG00000007237	588	247	1789	1379	491	630	1747	470	655	80	283	104	1093	425	2847	780	37	462	801	590
ENSG00000007255	2294	843	7871	429	1038	764	276	1103	415	2740	251	105	1143	1289	2019	640	1115	1680	1314	271
ENSG00000007264	64	12	73	153	56	69	188	26	137	16	100	43	117	154	130	141	34	677	82	182
ENSG00000007306	34	6	74	0	766	34	8	1	65	929	4	54	14	1449	1	0	7481	3	4	0
ENSG00000007312	589	20	323	168	431	33	76	40	98	68	25	30	63	638	248	176	4	41	279	35
ENSG00000007314	7	1	48	2	14	3	7	1	1	1	17	3	3	8	6	2	5	40	2	2
ENSG00000007341	700	244	434	298	264	502	513	198	689	501	446	473	253	749	606	530	661	252	275	380
ENSG00000007350	7	0	154	1	196	2	0	0	2	0	0	3	1	1	1	2	2	2113	2	0
ENSG00000007372	79	54	79	212	110	470	645	39	265	166	264	517	39	300	76	41	57	70	47	127
ENSG00000007376	1170	827	2950	1795	1521	1818	3139	598	2026	1387	2119	1911	1108	1560	1398	2502	2204	847	1790	3567
ENSG00000007384	3101	588	875	1142	853	2902	2529	894	1823	1615	2790	3658	1726	2219	4666	2622	4015	1267	1266	3928
ENSG00000007392	3410	969	3042	2243	2247	1637	838	1035	1984	3310	2560	1123	2455	2430	2308	1925	2009	3915	1965	6818
ENSG00000007402	120	52	3310	21	214	52	50	51	13	224	72	7	141	161	219	66	23	237	22	130
ENSG00000007516	3653	215	395	16	684	197	88	248	105	733	204	135	31	1010	3859	736	248	437	857	125
ENSG00000007520	2358	1290	4470	3560	1698	4180	2524	1149	2055	2186	4696	3209	1973	1714	2785	3428	3869	998	3716	5543
ENSG00000007541	2725	1592	4344	2882	2170	3338	2203	935	1807	1650	2244	1372	2407	3658	3814	3553	1593	774	2772	4844
ENSG00000007545	2203	724	1449	537	663	782	1460	289	952	1268	1374	1015	1141	1439	865	763	1450	1094	554	1029
ENSG00000007866	4650	1972	4991	509	3586	5594	4207	2595	3784	5553	8398	4382	1875	7627	4069	4812	5683	2393	3082	2043
ENSG00000007908	311	37	884	20	427	169	260	9	254	203	8	51	649	348	249	15	5	57	297	18
ENSG00000007923	2002	2306	5684	620	1121	2072	1547	1018	2103	1335	1595	3667	1018	3444	1697	2529	2576	2259	768	2306
ENSG00000007933	119	16	109	28	14	24	20	15	24	2	8	11	208	1430	40	62	1092	14	11	4
ENSG00000007944	3340	1235	24033	266	2781	6059	801	1771	541	3397	1595	956	1048	5844	2237	655	240	3308	1119	338
ENSG00000007952	96	17	59	42	92	74	19	26	52	593	65	37	577	4707	114	58	64	87	79	76
ENSG00000007968	397	790	997	616	1268	715	490	98	718	188	419	1206	427	2999	86	348	1201	472	311	600
ENSG00000008018	7477	6853	9659	12122	8392	13553	6783	4194	9446	5498	20302	16596	6227	9296	3923	9752	12608	2678	7431	14583
ENSG00000008056	62	13	90	215	25	33	52	21	381	20	19	18	46	20	138	51	20	12	94	189
