TCGA.CD.8531	TCGA.CD.5804	TCGA.FP.7998	TCGA.CD.A4MH	TCGA.CD.8528	TCGA.CD.8530	TCGA.CD.A486	TCGA.CD.8526	TCGA.CD.8535	TCGA.BR.6709	TCGA.CD.A487	TCGA.CD.8525	TCGA.CD.8529	TCGA.B7.A5TN	TCGA.IN.A6RO	TCGA.CG.4305
ENSG00000010072	702	675	1003	1361	2083	905	856	1162	2356	453	644	655	954	926	1087	720
ENSG00000010165	2267	1678	3013	1687	4884	2665	2044	3228	2625	1902	1745	920	2373	4326	3568	1915
ENSG00000010219	1265	533	986	352	918	1301	1669	1792	976	669	746	763	1070	1557	510	985
ENSG00000010244	13147	7961	12226	16641	10294	8391	18738	20309	13707	6262	8462	6081	11190	14826	18700	12626
ENSG00000010256	6728	20091	7758	17715	18179	8712	28940	9040	12826	10306	11227	11737	12192	11024	12430	10086
ENSG00000010270	2021	1068	1744	2393	532	2117	4041	1829	2733	1646	974	810	1850	1491	2691	838
ENSG00000010278	41438	8581	12021	29538	8290	8956	10002	34312	14174	3763	7930	5773	17471	14025	10939	16448
ENSG00000010282	0	0	1	0	0	0	2	0	2	0	1	0	0	2	0	3
ENSG00000010292	26675	4221	13280	16708	16040	6300	8730	29551	10707	4194	5462	4770	9857	6658	19815	6380
ENSG00000010295	2017	708	1506	462	286	815	709	678	272	627	324	329	1224	633	116	836
ENSG00000010310	59	255	191	265	28	163	428	187	173	27	43	244	515	153	138	450
ENSG00000010318	127	117	276	386	293	286	489	214	943	100	137	124	282	99	454	194
ENSG00000010319	354	1129	1246	546	220	2190	428	2238	262	556	348	544	1970	592	131	269
