TCGA.86.7954	TCGA.55.5899	TCGA.97.8547	TCGA.50.6590	TCGA.55.7281	TCGA.49.AAR4	TCGA.55.8301	TCGA.86.8054	TCGA.55.7994	TCGA.50.5933	TCGA.50.5051	TCGA.55.7995	TCGA.55.1596	TCGA.49.AAR2
ENSG00000010361	659	226	258	330	456	918	1016	593	821	170	517	1032	673	1008
ENSG00000010379	10	4	8	3	2	21	8	7	4	1	2	4	11	8
ENSG00000010404	13451	6072	14531	3394	11065	7096	13387	2979	24988	9993	4232	13715	3024	2823
ENSG00000010438	135	10	22	1104	34	239	29	0	7	12	4	129	466	6
ENSG00000010539	1095	212	183	717	354	283	483	572	553	479	262	1612	441	387
ENSG00000010610	18047	3737	3707	7860	8624	3412	9283	2602	10878	10554	1424	15238	1860	2148
ENSG00000010626	645	134	305	393	962	953	640	376	528	146	374	882	813	731
ENSG00000010671	1963	287	373	907	866	507	1332	273	1308	759	182	1401	167	328
ENSG00000010704	3071	723	1109	548	777	404	503	582	3275	587	348	1569	2319	929
ENSG00000010803	4625	1375	1246	1323	1667	2010	2065	2854	2056	1250	1130	2762	1135	2992
ENSG00000010810	3912	2177	841	1253	2604	2901	3107	5334	3335	2068	694	3571	549	802
ENSG00000010818	5131	1439	1190	2376	1254	1135	2786	1895	5697	3765	977	3881	1053	1109
ENSG00000010932	101	54	312	49	63	93	92	193	122	250	22	119	129	21
ENSG00000011007	8368	2076	1711	2144	3207	2004	4088	3343	4933	2415	1477	5020	3092	4259
ENSG00000011009	7223	2661	2098	1856	8309	4107	5050	4197	4212	2752	2376	3158	3050	4860
ENSG00000011021	1970	501	665	621	634	939	898	886	2036	560	556	2564	623	1146
ENSG00000011028	7757	4566	7792	7346	6052	5490	7200	4112	4041	18677	1713	8541	2143	2654
ENSG00000011052	13	46	29	23	26	25	16	69	23	42	45	32	14	52
ENSG00000011083	15	2	17	10	6	13	20	2	12	2	5	27	4	5
ENSG00000011105	3495	1301	3975	1922	3776	1556	1843	1697	1629	2286	796	6630	1455	1198
ENSG00000011114	2558	1380	1058	3239	968	1108	1463	1791	5484	1696	1130	6352	896	1075
ENSG00000011132	1486	645	658	844	677	915	806	1077	868	494	453	1496	356	640
ENSG00000011143	1640	779	727	582	794	861	545	1246	1493	697	395	1563	776	1367
ENSG00000011198	874	831	683	711	1015	301	669	1394	1163	1147	741	726	488	200
ENSG00000011201	8203	489	380	1413	1472	948	354	474	2416	877	260	1145	162	108
ENSG00000011243	3180	1210	1415	1432	1251	2500	2271	2811	2511	1550	1094	3162	958	3853
ENSG00000011258	2485	973	637	617	691	865	856	3357	2022	925	602	2659	644	746
ENSG00000011260	2480	2095	1012	1700	1349	1142	1456	3871	2469	2239	735	2658	1821	753
ENSG00000011275	5226	3362	2639	4025	2357	2291	3062	4088	4928	4007	1210	4523	2756	1921
ENSG00000011295	3720	1515	1014	1364	1378	1228	2149	12418	2641	1259	1619	3294	1249	1902
ENSG00000011304	32310	11871	8272	13804	12640	10799	13331	27344	18076	12405	8139	23616	9498	9991
ENSG00000011332	26	55	7	36	12	71	19	37	80	18	15	273	23	12
ENSG00000011347	4544	6786	1601	2210	2316	3082	670	18387	11678	2141	5812	1780	1806	4009
ENSG00000011376	1483	1182	555	857	694	598	1374	2177	2073	1401	776	962	889	278
ENSG00000011405	7462	1035	1214	1723	1452	1127	3196	6757	3748	3244	1593	6457	1238	1166
ENSG00000011422	3208	1477	2562	4575	5489	4124	4206	1809	4707	8483	1305	4776	1438	998
ENSG00000011426	2004	4086	1077	8113	705	1549	2177	5672	20530	5689	823	2052	2650	630
